"state","publicSchoolScore","qualityRank","safetyRank"
"Massachusetts","73.1400","1","1"
"Connecticut","67.5000","2","9"
"New Jersey","64.3600","3","19"
"Virginia","61.7100","5","2"
"New Hampshire","61.5700","4","12"
"Maryland","60.2400","8","4"
"Delaware","58.0700","16","3"
"Nebraska","57.8100","12","8"
"Wisconsin","57.4800","6","28"
"Vermont","57.4300","15","6"
"Rhode Island","57.2100","13","10"
"Minnesota","57","7","36"
"Maine","56.8700","18","7"
"New York","56.4200","11","16"
"Illinois","56.2700","9","24"
"Utah","55.8700","17","15"
"North Dakota","55.3000","10","31"
"Florida","55.2200","14","20"
"Kentucky","54.1800","23","14"
"Iowa","53.7100","22","18"
"Colorado","53.7000","20","23"
"Indiana","53.3100","25","11"
"Wyoming","53.0700","24","22"
"Pennsylvania","52.8600","19","33"
"South Dakota","52.4300","21","35"
"Washington","51.3100","27","5"
"Montana","50.3300","26","37"
"Texas","49.8600","31","13"
"Kansas","47.4700","28","41"
"Ohio","47.4300","33","26"
"Tennessee","46.9300","30","44"
"Georgia","46.2200","37","27"
"North Carolina","46.0600","38","29"
"Michigan","45.9200","32","43"
"Missouri","45.8800","29","50"
"Idaho","45.2000","35","42"
"Arkansas","43.8400","40","40"
"Nevada","43.6400","39","46"
"Hawaii","43.0900","41","32"
"California","42.4200","36","51"
"Oregon","40.9600","42","39"
"South Carolina","38.9400","43","48"
"West Virginia","38.4700","45","17"
"Mississippi","38.2200","44","38"
"Oklahoma","37.1500","46","25"
"Alabama","37.0200","48","21"
"Alaska","36.4300","47","30"
"Arizona","35.1300","49","34"
"Louisiana","33.3700","50","45"
"New Mexico","25.2600","51","49"