state,"PercentHighSchoolOrHigher","PercentBachelorsOrHigher"
"Montana","94","33.1000"
"Wyoming","93.6000","28.2000"
"Vermont","93.5000","39.7000"
"Minnesota","93.4000","36.8000"
"New Hampshire","93.3000","37.6000"
"Maine","93.2000","32.5000"
"Alaska","93.1000","30"
"North Dakota","93.1000","30.7000"
"Utah","93","34.7000"
"Wisconsin","92.6000","30.8000"
"Hawaii","92.5000","33.6000"
"Iowa","92.5000","29.3000"
"South Dakota","92.2000","29.3000"
"Colorado","92.1000","41.6000"
"Washington","91.7000","36.7000"
"Nebraska","91.6000","32.5000"
"Kansas","91.4000","33.9000"
"Idaho","91.3000","28.7000"
"Michigan","91.3000","30"
"Massachusetts","91.1000","44.5000"
"Oregon","91.1000","34.4000"
"Pennsylvania","91","32.3000"
"Connecticut","90.9000","40"
"Ohio","90.8000","28.9000"
"Delaware","90.6000","32.7000"
"Maryland","90.6000","40.9000"
"Missouri","90.6000","29.9000"
"New Jersey","90.3000","40.7000"
"Virginia","90.3000","39.5000"
"Illinois","89.7000","35.5000"
"Indiana","89.3000","27.2000"
"Rhode Island","89.2000","35"
"Oklahoma","88.6000","26.1000"
"Florida","88.5000","30.5000"
"North Carolina","88.5000","32"
"South Carolina","88.3000","29"
"Tennessee","88.2000","28.2000"
"Arizona","87.9000","30.3000"
"Georgia","87.9000","32.2000"
"West Virginia","87.6000","21.3000"
"Arkansas","87.2000","23.8000"
"Kentucky","87.2000","25"
"New York","87.2000","37.5000"
"Alabama","86.9000","26.2000"
"Nevada","86.9000","25.5000"
"New Mexico","86.5000","28.1000"
"Louisiana","85.9000","24.9000"
"Mississippi","85.3000","22.8000"
"Texas","84.4000","30.7000"
"California","83.9000","34.7000"